project,category,cost_per_min_saved_30yr_dollars,projected_daily_riders_2045,new_daily_riders_2045,construction_cost_billions_2027,fleet_cost_millions_2027,note
Ridgewood Busway,busway,0.00,8900,200,0.03,,metric is 0 because operating savings over project lifetime exceed capital cost
Utica-Nostrand Junction Capacity Improvements,capacity_improvement,0.28,319900,8700,0.41,230,subway junction and crossover upgrades; not a new line
Utica Ave Alt A BRT (Kings Plaza to Woodhull Hospital),brt,0.36,71900,3900,0.30,,bus rapid transit alternative on Utica corridor
Interborough Express LRT (IBX),light_rail,1.29,118700,13200,5.54,432,best score of any proposed new line; current MTA estimate is 160000 weekday riders; selected for advancement
Second Ave Subway West to 125th St/Broadway,subway_extension,1.43,239700,7500,7.54,611,extension west along 125th St beyond the funded Phase 2; most promising westward configuration per MTA
Staten Island North Shore BRT,brt,1.46,32000,1300,1.30,34,8-mile BRT partly on former North Shore rail right-of-way
Second Ave Subway West to 137th St/Broadway (alternative),subway_extension,1.52,256800,8800,9.10,717,alternative configuration; rejected as less cost effective than 125th/Broadway
Utica Ave Alt C Subway to Church Ave plus BRT,subway_extension,1.73,81200,7300,6.86,190,hybrid subway extension plus BRT south of Church Ave
Staten Island West Shore BRT via Korean War Veterans Pkwy,brt,1.95,16900,3500,1.87,11,best performing West Shore alternative
Harlem Line Capacity Improvements,capacity_improvement,2.46,83700,500,1.00,330,third track Crestwood to North White Plains
Staten Island West Shore BRT via West Shore Expressway (alternative),brt,3.34,8200,2200,2.10,16,rejected alternative alignment
Second Ave Subway South to Houston St,subway_extension,4.47,230400,2900,13.50,611,three miles and six stations from 72nd St to Houston St
Hudson Line to Penn Station,commuter_rail,4.54,18900,1900,0.75,766,Metro-North via Amtrak Empire Connection
Utica Ave Alt B Subway to Kings Plaza,subway_extension,4.82,55600,2900,15.79,410,full subway extension; costliest project evaluated
Inner New Haven Line Yard (Port Chester),capacity_improvement,5.07,6000,30,0.39,,new fleet storage yard
Port Jefferson Branch Capacity Improvements,capacity_improvement,6.18,27900,1400,3.12,,electrification and double tracking
Danbury-Southeast Connection,commuter_rail,6.35,2600,900,0.82,52,Beacon Line reactivation
Rockaway Beach Branch Reactivation (NYCT subway),subway_extension,6.72,39200,2000,5.94,101,6-mile reactivation as subway service
New Lots Ave 3 Line Extension to Flatlands,subway_extension,8.64,8600,300,1.78,101,elevated extension past Livonia Yard
Stewart Airport Commuter Rail,commuter_rail,10.65,4300,1900,1.40,461,extension from Port Jervis Line
New Lots Ave 3 Line Extension to Spring Creek (alternative),subway_extension,11.74,9800,400,2.50,101,rejected as less cost effective than Flatlands alternative
Speonk-Montauk Capacity Improvements,capacity_improvement,13.66,1500,100,0.26,80,signal upgrades on LIRR Montauk Branch
Port Jervis Line Capacity Improvements (Midpoint Yard),capacity_improvement,40.46,11000,40,0.36,,new rail yard at Campbell Hall
Lower Montauk Branch Reactivation,commuter_rail,62.41,9200,6400,4.23,15,nine-mile LIRR reactivation Jamaica to Long Island City
Tenth Ave Station on 7 Line,infill_station,81.29,55000,600,1.90,41,new infill station at 41st St and 10th Ave
W Line to Red Hook,subway_extension,90.46,7600,100,11.21,295,three new stations via Montague St Tunnel; worst major project on the metric
Rockaway Beach Branch Reactivation (LIRR alternative),commuter_rail,262.26,14500,300,4.10,169,rejected alternative; far less cost effective than subway version
Elmhurst Station (LIRR),infill_station,,3100,1200,0.21,,no net travel time saved so cost-effectiveness metric not computed
Sunnyside Station (LIRR),infill_station,,7900,900,0.49,,no net travel time saved so cost-effectiveness metric not computed
