Option,Annual Value (dollars),Category,State Action Required,Notes
Commuter Tax Restoration,1200000000,IBO Budget Option,Yes,Restore personal income tax on nonresidents; 0.45% on salaries / 0.65% on self-employment wages
Employee Health Insurance Contribution,785000000,IBO Budget Option,No,Graduated employee premium contribution; City would still cover 70-95% of premiums
Insurance Company Corporate Tax,672000000,IBO Budget Option,Yes,Close exemption for insurance companies from NYC corporate taxes
Eliminate Longevity Payments,641000000,IBO Budget Option,No,Eliminate annual longevity bonuses paid to ~103000 City employees at milestone years
Increase Camera Fines (Repeat Offenders),475000000,IBO Budget Option,Yes,Incremental fine structure for repeat school zone speeding and red light violations
CSO Reports — FY27 Total,196521000,CSO Agency Savings,No,Sum of all 16 agency Chief Savings Officer plans for FY2027
Facade Inspection Penalties,150000000,IBO Budget Option,No,1% of assessed value penalties for failed facade inspections and delayed repairs
CSO Reports — FY27 Total (excl. OLR),96521000,CSO Agency Savings,No,FY27 total excluding OLR dependent eligibility audit ($100M) — all other agency actions combined
CSO Reports — FY26 Total,49600000,CSO Agency Savings,No,Sum of all 16 agency Chief Savings Officer plans for FY2026
Eliminate MSG Property Tax Exemption,42000000,IBO Budget Option,Yes,End MSG full property tax exemption in place since 1982; valued at $42M in 2023
