rezoning,year_adopted,projected_new_units,administration,note
Downtown Brooklyn,2004,1000,Bloomberg,EIS anticipated roughly 1000 units; more than 11000 actually built within 12 years
Greenpoint-Williamsburg,2005,10800,Bloomberg,Figure cited by officials at adoption; FEIS net new units about 7914; area has since added 26000 plus units
Hudson Yards,2005,12600,Bloomberg,FGEIS projected 12600 residential units in the rezoning area
Coney Island,2009,4500,Bloomberg,DCP press release; includes at least 1000 affordable units
East New York,2016,6000,de Blasio,DCP plan: nearly 6000 units over 15 years; EIS firm AKRF cited nearly 6500
Downtown Far Rockaway,2017,3000,de Blasio,Estimated 3000 plus new units; approved unanimously September 2017
East Harlem,2017,3500,de Blasio,EIS projected about 3500 incremental units (DEIS figure 3488)
Jerome Avenue,2018,4600,de Blasio,About 4600 units across 92 blocks; 1150 to 1500 permanently affordable
Inwood,2018,4348,de Blasio,EIS projected 4348 incremental dwelling units by 2032
Bay Street Corridor,2019,1800,de Blasio,1800 units including about 1300 income-targeted; approved June 2019
SoHo/NoHo,2021,3200,de Blasio,About 3200 units including roughly 900 affordable; approved December 2021
Gowanus,2021,8500,de Blasio,8500 units by 2035 including about 3000 income-restricted; approved November 2021
Bronx Metro-North,2024,7000,Adams,Nearly 7000 homes around four new Metro-North stations; adopted August 2024
City of Yes for Housing Opportunity,2024,82000,Adams,Citywide zoning text amendment adopted December 2024 (Council vote 31-20); up to 82000 units over 15 years
