Name,Organization,Role,Offering,Problem Area,Problem Topic,Geography,Due by,Details,Contact
Congressional Innovation Fellowship,TechCongress,Fellowship Program,Job / Fellowship,Talent & Hiring; Domains,AI in Government; Talent Pipeline,Federal,6/25/2026,"Up to 20 early- and mid-career technologists placed in Congressional offices Jan 2027. Domains: govt innovation, climate, science. Stipend $73.5K-$96.75K. Deadline June 25.",techcongress.io/apply
TechAccess: AI-Ready America,National Science Foundation,Government Practitioner,Grant / Challenge,Technology & Data; Domains,AI in Government; Shared Platforms,State,7/16/2026,"$224M program for State/Territory AI Coordination Hubs. Up to $1M/year x 3 years. LOI due June 16, full proposal July 16. For universities, workforce boards, extension services. Round 1 of 3.",nsf.gov/funding/opportunities/techaccess-ai-ready-america
US Tech Force,U.S. Tech Force (OPM),Government Practitioner,Job / Fellowship,Talent & Hiring; Domains,AI in Government; Talent Pipeline,Federal,,"Federal hiring initiative placing ~1,000 technologists in 2-year govt roles. $150-200K salary. Focus: AI, cybersecurity, data, software engineering. First full cohort September 2026. Rolling applications.",techforce.gov
AcceliGOV Municipal Innovation Pilots,Leading Cities,Capacity Builder,Problem to Solve,Domains; Service Delivery,Physical Infrastructure; AI in Government,City,6/14/2026,"Offering 5 cities $50-100K to deploy vetted climate and infrastructure solutions in 90 days. No RFP required. Clinton Global Initiative partner. For CIOs, CTOs, mayors, city managers. Deadline June 14.",city-innovation.net/acceligov
Ideas for Impact RFEI,New York City Economic Development Corporation,Government Practitioner,Problem to Solve; Collaboration Opportunity,Open to Any,,City,6/30/2026,"Rolling open call for public-private innovation partnerships across NYC strategic priorities. Responses reviewed monthly. Open to companies, nonprofits, and research orgs. Submissions accepted through June 30.",edc.nyc/ideas-impact-rfei
Executive Fellowship,FUSE Corps,Fellowship Program,Job / Fellowship,Talent & Hiring; Service Delivery,Talent Pipeline; Workforce Development,State; City,,"Experienced professionals (15+ yrs) placed in 1-year paid roles ($80K) in city and county agencies. Two cohorts/year; rolling applications. Covers social impact, environment, and civic innovation areas.",fuse.org/executive-fellowship
Barr Fellowship,Barr Foundation,Funder,Job / Fellowship; Funding / Investment,Talent & Hiring,Talent Pipeline; Workforce Development,State,6/30/2026,15-month fellowship for senior civic sector leaders in greater Boston. $75K grant to fellows organization. ~16 days of programming. For established nonprofit and civic leaders. Deadline June 30.,barrfoundation.org/barr-fellowship
FAS Impact Fellowship,Federation of American Scientists,Advocate,Job / Fellowship,Talent & Hiring; Domains,AI in Government,Federal; State,,Rolling placements of scientists and technologists in federal and state agencies. New roles posted quarterly. Current opening: AI/ML Engineering Director at a state government. Check site for latest listings.,fas.org/talent-hub/impact-fellowship-opportunities
American Connection Corps,Lead for America,Fellowship Program,Job / Fellowship,Talent & Hiring; Domains,Broadband & Internet Connectivity; Talent Pipeline,State; City,,"AmeriCorps service fellowship placing fellows in local govts and nonprofits focused on digital access, community resilience, and economic opportunity. Open for 2026-2027 program year.",leadforamerica.org/american-connection-corps
Civic Match,Work for America,Advocate,Job / Fellowship; Interesting Conversation,Talent & Hiring,Talent Pipeline; Workforce Development,State; City,,Talent matching platform connecting mission-driven professionals with state and local govt roles. Free to job seekers and hiring managers. Also recruiting for a new Responsive Cities Network fellowship. Rolling.,workforamerica.org/civicmatch
AI Government Leadership Program,Partnership for Public Service,Advocate,Expertise,Talent & Hiring; Domains,AI in Government; Workforce Development,Federal; State; City,8/27/2026,"Free 6-session program training senior govt leaders (GS-15, SES, state/local executives) on AI strategy. No technical knowledge required. Fall 2026 cohort, orientation August 27. Supported by Microsoft and Google.org.",aicenterforgovernment.org/ai-government-leadership-program
Government Innovation Fellowship,Harvard Government Performance Lab,Fellowship Program,Job / Fellowship,Talent & Hiring; Service Delivery,Talent Pipeline; Workforce Development,State; City,,"Paid 1-year embedded fellowship ($92K) placing graduate-level professionals in state and local agencies to lead performance improvement projects. Areas: housing, justice reform, child welfare, unemployment insurance. Rolling applications.",govlab.hks.harvard.edu/working-at-gpl
Pro-Bono Tech Volunteer Network,U.S. Digital Response,Technologist,Expertise; Collaboration Opportunity,Talent & Hiring; Technology & Data,Expert Contribution,Federal; State; City,,"11,000+ vetted pro-bono technologists (engineers, designers, PMs, researchers) available to partner with government agencies at no cost. Govts can submit requests for help. Focus: AI, procurement, benefits, elections, language access.",usdigitalresponse.org/volunteer
Agency Modernization Proposals,Technology Modernization Fund,Government Practitioner,Funding / Investment,Technology & Data; Procurement & Operations,Legacy Systems,Federal,9/30/2026,"Federal agencies apply for milestone-based IT modernization financing. Awards unlock as project phases complete; agencies repay from savings generated. Technical assistance provided. Rolling submission windows through Sept 30, 2026.",tmf.cio.gov/process
State & Local Innovation Evaluation Incubator,J-PAL North America,Researcher,Collaboration Opportunity; Expertise,Test & Learn; Service Delivery,Evidence Use; Iterative Learning,State; City,,"State and local governments apply for technical assistance and researcher connections to design randomized evaluations. J-PAL staff guide design; affiliated researchers conduct studies. Covers housing, criminal justice, workforce, education, health.",povertyactionlab.org/initiative/state-and-local-innovation-initiative
AI Readiness Project State Pilot,Rockefeller Foundation,Funder,Problem to Solve; Expertise,Domains; Test & Learn,AI in Government; Iterative Learning,State,,"Seeking 10+ state, territory, and Tribal Nation partners in 2026 to run structured low-risk AI pilots. Includes cross-state working groups, shared frameworks, and a Government AI Knowledge Hub. Co-led with Center for Civic Futures.",centerforcivicfutures.org
Free AI Training for Government,InnovateUS,Capacity Builder,Expertise; Tool / Product,Talent & Hiring; Domains,AI in Government; Workforce Development,Federal; State; City,,Free weekly live workshops and self-paced courses on responsible AI for public sector employees. Spring 2026 series active now. 40K+ learners across 100+ agencies. Any govt agency can access or formally partner at no cost.,innovate-us.org/workshops
CiviForm Government Deployment,CiviForm,Technologist,Tool / Product,Service Delivery; Technology & Data,Benefits Access; Service Design,State; City,,Free open-source platform that lets residents apply for multiple government assistance programs in one place. No licensing fee. Governments self-host and control all data. Built and maintained collaboratively with government users. Rolling access.,civiform.us/getstarted
AI Upskill Accelerator Pilot Program,U.S. Economic Development Administration,Government Practitioner,Grant / Challenge,Talent & Hiring; Domains,Workforce Development; AI in Government,Federal,9/30/2026,"$25M federal competition for industry-led AI workforce training. 5-8 awards, $1M-$8M each, 24-36 months. Requires 1:1 match. Eligible: employers, training providers, workforce boards, universities.",eda.gov/ai-upskill
