record_id,operational_status,organization_type,name,acronym,name_alphabetized,url,alternate_or_former_names,alternate_or_former_acronyms,principal_officer_title,principal_officer_full_name,principal_officer_first_name,principal_officer_last_name,principal_officer_contact_url,reports_to,in_org_chart,listed_in_nyc_gov_agency_directory
NYC_GOID_000244,Active,Mayoral Office,Mayor's Advance Team,,"Advance Team, Mayor's",,,,Director,,,,,Deputy Mayor for Administration and Chief of Staff,true,false
NYC_GOID_000258,Active,Mayoral Office,Mayor's Office of Administrative Services,,"Administrative Services, Mayor's Office of",,,,Chief Administrative Officer,Mir Bashar,Mir,Bashar,,Deputy Mayor for Administration and Chief of Staff,true,true
NYC_GOID_000276,Active,Mayoral Office,Mayor's Office of Policy and Planning,,"Policy and Planning, Mayor's Office of",,Mayor's Office of Policy and Planning and Delivery,,"Director, Policy and Planning",,,,,,true,false
NYC_GOID_000306,Active,Mayoral Office,Mayor's Office of Municipal Services Assessment,MSA,"Municipal Services Assessment, Mayor's Office of",,,,,,,,,Deputy Mayor for Public Safety,true,false
NYC_GOID_000349,Active,Mayoral Office,Office of Capital Project Development,,"Capital Project Development, Office of",,,,,,,,,Deputy Mayor for Operations,true,false
NYC_GOID_000380,Active,Mayoral Office,Office of Scheduling and Executive Operations,,"Scheduling and Executive Operations, Office of",,,,Director,,,,,Deputy Mayor for Administration and Chief of Staff,true,false
NYC_GOID_100001,Active,Advisory or Regulatory Organization,Borough Boards,,Borough Boards,,,,,,,,,Office of the Borough President of The Bronx;Office of the Borough President of Brooklyn;Office of the Borough President of Manhattan;Office of the Borough President of Queens;Office of the Borough President of Staten Island,true,false
NYC_GOID_100008,Active,Mayoral Office,Office of Creative Communications,,"Creative Communications, Office of",,,,Associate Director for Digital Communications,,,,,Deputy Mayor for Communications,true,false
NYC_GOID_100031,Active,Mayoral Office,Mayor's Office of Rodent Mitigation,,"Rodent Mitigation, Mayor's Office of",,,,Director,,,,,,false,false
NYC_GOID_100040,Active,Mayoral Office,Mayor's Office of Community Safety,,"Community Safety, Mayor's Office of",,,,Commissioner,Ayesha Delany-Brumsey,,,,,true,true
NYC_GOID_000303,Active,Mayoral Office,Municipal Division of Transitional Services,,"Division of Transitional Services, Municipal",,,,,,,,,,false,false
NYC_GOID_100035,Active,Mayoral Office,Mayor's Office - Senior Advisor for Policy and Strategy,,Mayor's Office - Senior Advisor for Policy and Strategy,,,,,Simonia Brown,,,,,false,true
NYC_GOID_000367,Active,Mayoral Office,Office of Healthcare Accountability,,"Healthcare Accountability, Office of",,,,,,,,,,false,false
NYC_GOID_000163,Active,Mayoral Office,Deputy Mayor for Operations,DMOPS,"Operations, Deputy Mayor for",,,,Deputy Mayor for Operations,Julia Kerson,Julia,Kerson,,Office of the Mayor,true,true
NYC_GOID_000161,Active,Mayoral Office,Deputy Mayor for Health and Human Services,DMHHS,"Health and Human Services, Deputy Mayor for",,,,Deputy Mayor for Health and Human Services,Helen Arteaga,Helen,Arteaga,,Office of the Mayor,true,true
NYC_GOID_100007,Active,Mayoral Office,Mayor's Office - Director of Communications,,Mayor's Office - Director of Communications,,,,,Anna Bahr,,,,Deputy Mayor for Communications,true,true
NYC_GOID_000193,Active,Mayoral Office,First Deputy Mayor,FDM,First Deputy Mayor,,,,First Deputy Mayor,Dean Fuleihan,Dean,Fuleihan,,Office of the Mayor,true,true
NYC_GOID_100032,Active,Mayoral Office,Deputy Mayor for Housing and Planning,,"Housing and Planning, Deputy Mayor for",,,,Deputy Mayor for Housing and Planning,Leila Bozorg,Leila,Bozorg,,Office of the Mayor,true,true
NYC_GOID_000128,Active,Mayoral Office,Chief Counsel to the Mayor and City Hall,,Chief Counsel to the Mayor and City Hall,,Office of the Chief Counsel to the Mayor,,Chief Counsel to the Mayor and City Hall,Ramzi Kassem,Ramzi,Kassem,,Office of the Mayor,true,true
NYC_GOID_100033,Active,Mayoral Office,Deputy Mayor for Economic Justice,,"Economic Justice, Deputy Mayor for",,,,Deputy Mayor for Economic Justice,Julie Su,Julie,Su,,Office of the Mayor,true,true
NYC_GOID_000292,Active,Mayoral Office,Mayor's Office - Press Office,,Mayor's Office - Press Office,,,,Press Secretary,Joe Calvello,Joe,Calvello,,Deputy Mayor for Communications,true,true
NYC_GOID_000265,Active,Mayoral Office,Mayor's Office - Correspondence,,Mayor's Office - Correspondence,,,,Director,Dawn Baskerville,Dawn,Baskerville,,Deputy Mayor for Administration and Chief of Staff,true,true
NYC_GOID_100038,Active,Mayoral Office,Mayor's Office of LGBTQIA+ Affairs,,"LGBTQIA+ Affairs, Mayor's Office of",,,,Director,Taylor Brown,,,,,true,true
NYC_GOID_100037,Active,Mayoral Office,Deputy Mayor for Community Safety,,"Community Safety, Deputy Mayor for",,,,Deputy Mayor for Community Safety,Renita Francois,,,,,true,true
NYC_GOID_000287,Active,Mayoral Office,Mayor's Office of Risk Management and Compliance,MORMC,"Risk Management and Compliance, Mayor's Office of",,,,Director,,,,,Chief Counsel to the Mayor and City Hall,true,false
NYC_GOID_000246,Active,Mayoral Office,Chief of Staff to the Mayor,,Chief of Staff to the Mayor,,,,Chief of Staff to the Mayor,Elle Bisgaard-Church,Elle,Bisgaard-Church,,Mayor,true,true
NYC_GOID_100039,Active,Mayoral Office,Mayor's Office of Deed Theft Prevention,,"Deed Theft Prevention, Mayor's Office of",,,,Director,Peter White,,,,,true,true
NYC_GOID_000275,Active,Mayoral Office,Mayor's Office of Pensions and Investments,MOPI,"Pensions and Investments, Mayor's Office of",,,,Chief Pension Administrator,Ahmer Qadeer,Ahmer,Qadeer,,Department of Finance,true,true
NYC_GOID_000326,Active,Public Benefit or Development Organization,"New York City School Bus Umbrella Services, Inc.",,"School Bus Umbrella Services, Inc., New York City",https://www.nycsbus.com/,,,CEO,Matt Berlin,Matt,Berlin,,,false,false
NYC_GOID_000152,Active,Mayoral Agency,New York City Department of Sanitation,DSNY,"Sanitation, New York City Department of Sanitation",https://www.nyc.gov/site/dsny/index.page,Department of Sanitation;NYC Sanitation,,Commissioner,Gregory Anderson,Gregory,Anderson,https://www.nyc.gov/site/dsny/about/contact.page,Deputy Mayor for Operations,true,true
NYC_GOID_000217,Active,Mayoral Office,Mayor's Office of Housing Recovery Operations,HRO,"Housing Recovery Operations, Mayor's Office of",https://www1.nyc.gov/site/housingrecovery/index.page,,,Executive Director,Rudy S. Giuliani,Rudy,Giuliani,https://www.nyc.gov/site/housingrecovery/about/contacts.page,Deputy Mayor for Housing and Planning,true,true
NYC_GOID_000075,Active,Nonprofit Organization,Museum of Modern Art,MoMA,"Modern Art, Museum of",https://www.moma.org/,,,David Rockefeller Director,Glenn D. Lowry,Glenn,Lowry,,,false,false
NYC_GOID_000394,Active,Nonprofit Organization,Prospect Park Alliance,,Prospect Park Alliance,https://www.prospectpark.org/,,,President and Park Administrator,Morgan Monaco,Morgan,Monaco,,,false,false
NYC_GOID_000191,Active,Mayoral Agency,Fire Department of the City of New York,FDNY,Fire Department of the City of New York,https://www.nyc.gov/site/fdny/index.page,Fire Department,,Commissioner,Lillian Bonsignore,Lillian,Bonsignore,https://www.nyc.gov/site/fdny/about/overview/leadership/email-the-commissioner.page,Deputy Mayor for Operations,true,true
NYC_GOID_000382,Active,Mayoral Office,Office of Technology and Innovation,OTI,"Technology and Innovation, Office of",https://www.nyc.gov/content/oti/pages/,Department of Information Technology and Telecommunications,DoITT,Chief Technology Officer and Commissioner,Lisa Gelobter,Lisa,Gelobter,https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer,Deputy Mayor for Operations,true,true
NYC_GOID_000009,Active,Advisory or Regulatory Organization,Advisory Council on Procurement Lobbying,ACPL,"Procurement Lobbying, Advisory Council on",https://ogs.ny.gov/ACPL/,,,,,,,,,false,false
NYC_GOID_000449,Active,Public Benefit or Development Organization,Trust for Governors Island,,"Governors Island, Trust for",https://www.govisland.com/about/the-trust-for-governors-island,,,President and CEO,Clare Newman,Clare,Newman,https://www.govisland.com/about,,false,false
NYC_GOID_000462,Active,Advisory or Regulatory Organization,Workforce Development Council,,Workforce Development Council,https://www.nyc.gov/site/wkdev/workforce-board/about-the-council.page,,,,,,,,,false,false
NYC_GOID_000412,Active,State Government Agency,Richmond County Public Administrator,,"Public Administrator, Richmond County",https://www.nyc.gov/site/rcpa/index.page,,,Public Administrator,Edwina Frances Martin,Edwina,Martin,https://www.nyc.gov/site/rcpa/contact/contact.page,,false,true
NYC_GOID_000388,Active,Advisory or Regulatory Organization,Pay Equity Cabinet,,Pay Equity Cabinet,https://www.nyc.gov/content/genderequity/pages/economic-mobility-opportunity,,,,,,,,,false,false
NYC_GOID_000309,Active,Advisory or Regulatory Organization,MWBE Advisory Board,,MWBE Advisory Board,https://www.nyc.gov/assets/mwbe/?page=mwbe-advisory-council,,,,,,,,,false,false
NYC_GOID_000415,Active,Public Benefit or Development Organization,Sales Tax Asset Receivable Corporation,STAR,Sales Tax Asset Receivable Corporation,https://www.nyc.gov/site/starcorp/index.page,,,President,David Womack,David,Womack,https://www.nyc.gov/site/starcorp/about/contact-the-star.page,,false,false
NYC_GOID_000098,Active,Advisory or Regulatory Organization,City Planning Commission,CPC,City Planning Commission,https://www.nyc.gov/content/planning/pages/commission,,,Chair and Director,Dan Garodnick,Dan,Garodnick,,,false,false
NYC_GOID_000157,Active,Mayoral Agency,New York City Department of Transportation,NYC DOT,"Transportation, New York City Department of",https://www.nyc.gov/html/dot/html/home/home.shtml,Department of Transportation,DOT,Commissioner,Mike Flynn,Mike,Flynn,https://www.nyc.gov/html/dot/html/contact/contact-form.shtml,Deputy Mayor for Operations,true,true
NYC_GOID_000274,Active,Mayoral Office,Mayor's Office of Operations,OPS,"Operations, Mayor's Office of",https://www.nyc.gov/site/operations/index.page,,,Director,Annie Levers,Annie,Levers,https://www.nyc.gov/site/operations/about/email-the-director.page,Deputy Mayor for Operations,true,true
NYC_GOID_000156,Active,Division,Human Resources Administration,HRA,Human Resources Administration,https://www.nyc.gov/site/hra/index.page,,,Administrator,Scott French,Scott,French,https://www.nyc.gov/assets/home/mail/html/mailhra.html,Deputy Mayor for Health and Human Services,true,true
