lane,item,date_yyyy_mm,status,one_line_note
Transit,7 train extension to Hudson Yards,2015-09,completed,Opened Sep 13 2015 with the new 34 St-Hudson Yards station; first new subway station in over 25 years
Transit,Second Avenue Subway Phase 1,2017-01,completed,Opened Jan 1 2017; Q line extended with new stations at 72 St 86 St and 96 St
Transit,Moynihan Train Hall,2021-01,completed,Opened to the public Jan 1 2021 in the converted Farley Post Office building
Transit,East Side Access (Grand Central Madison),2023-01,completed,Opened Jan 25 2023 with limited LIRR shuttle service; full service began Feb 27 2023
Transit,Penn Station Access (Metro-North to Penn),2030-12,under_construction,Four new East Bronx stations; MTA confirmed a three-year delay in Oct 2025 pushing the original 2027 target to roughly 2030
Transit,Second Avenue Subway Phase 2,2032-09,under_construction,Q extension to 106 St 116 St and 125 St; 1.97 billion dollar tunneling contract awarded Aug 2025 with September 2032 revenue service target
Transit,Interborough Express (IBX),2025-08,planned,Brooklyn-Queens light rail entered preliminary engineering Aug 2025 and environmental review Oct 2025; no construction start or opening date set
Housing,City of Yes for Housing Opportunity adopted,2024-12,completed,Council approved the modified zoning text Dec 5 2024 by a 31-20 vote; projected about 80000 homes over 15 years
Housing,Charter revision housing ballot proposals approved,2025-11,completed,Voters passed Props 2 3 and 4 on Nov 4 2025 fast-tracking affordable housing and streamlining land use review; Prop 5 (digital city map) also passed
Housing,Mamdani Block by Block housing plan released,2026-05,completed,Released May 26 2026; targets 200000 new affordable homes built and 200000 homes preserved over the next decade
Housing,SEQRA reform signed in FY27 state budget,2026-05,completed,Signed May 27 2026; exempts qualifying housing (up to 500 units in higher-density NYC zones) from environmental review and caps EIS completion at two years
