Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website
#BlackTechFutures Research Institute,Advocacy,Research,"Federal,State,City","Builds national network of HBCUs, city-based researchers, and community institutions focused on local Black tech ecosystems and tech talent. Received PIT Fund support to bolster Black civic tech workforce pipeline.",Philanthropy,Public Interest Tech Fund ($250K grant) + philanthropic,blacktechfutures.org
All Tech Is Human,Advocacy,Community,"Federal,State,City","Responsible tech advocacy org. Slack community, job board, and mentorship program connecting people to careers in public interest technology. Focuses on diversifying the pipeline into tech policy and civic tech roles.",Philanthropy,Philanthropic grants + community support,alltechishuman.org
Alliance of Civic Technologists (ACT),Advocacy,Community,"Federal,State,City",National umbrella connecting 18+ volunteer civic tech groups. Organizes CityCamp unconferences and Civic Spark convenings. 500+ Discord members.,Volunteer,Member org contributions; small grants,civictechnologists.org
Civic Tech Field Guide,Advocacy,Community,"Federal,State,City","World's largest collection of civic tech projects and organizations. Field Guide Friday newsletter (4,300+ subscribers). Open resource cataloguing the global civic tech ecosystem. Key discovery tool for technologists entering the field.",Volunteer,Primarily volunteer-run; small grants,civictech.guide
Demand Progress,Advocacy,Research,Federal,"Progressive advocacy org with dedicated congressional modernization portfolio. Advocates for transparency, open data, and strengthening legislative branch capacity. Co-authored bipartisan House rules reform proposals with Lincoln Network. Tracks legislative data and capacity issues.",Philanthropy,Philanthropic grants + small-dollar donors,demandprogress.org
Federation of American Scientists (FAS),Advocacy,"Research,Fellowships","Federal,State,City",Nonpartisan think tank running Day One Project for policy entrepreneurship. Innovation Ecosystem Job Board for displaced federal technologists (2025). Senior Fellows program.,Philanthropy,"Schmidt Futures, Open Philanthropy, broad base",fas.org
GovAI Coalition,Advocacy,Research,"State,City","Coalition of 2,000+ public servants from 700+ local, county, and state governments advocating for responsible public sector AI. Historically led by City of San Jose, but transitioned to full non-profit status. Produces AI policy templates, vendor AI FactSheets, use case libraries, and AI Contract Hub. Open to government, academia, and industry.",Government,City of San Jose leads; member contributions; philanthropic support,sanjoseca.gov/govai
Inclusive Abundance / Abundance Network,Advocacy,,"Federal,State,City","Coalition advocating for abundance-agenda policy: housing, energy, permitting reform, state capacity. Members include FAS, Niskanen, R Street, New America.",Philanthropy,Network of philanthropic funders,inclusiveabundance.org
National Conference on Citizenship (NCoC) / Project Redesign,Advocacy,Research,"Federal,State,City",Civic health research. Project Redesign focuses on redesigning public services. Co-created TELI program.,Philanthropy,Philanthropic grants,ncoc.org
Open The Government,Advocacy,,Federal,"Coalition advocating for government transparency, open data, and accountability. Works on FOIA reform, open data policy, and government information access. Part of broader good-government advocacy ecosystem.",Philanthropy,Philanthropic grants,openthegovernment.org
Partnership for Public Service,Advocacy,"Training,Research",Federal,"Nonpartisan nonprofit advocating for effective federal government. Produces Best Places to Work rankings, leadership development programs, and tech modernization policy recommendations.",Philanthropy,Broad philanthropic base; earned revenue from training,ourpublicservice.org
POPVOX Foundation,Advocacy,"Research,Community",Federal,"Leads congressional modernization advocacy. Published 'Future-Proofing Congress' resources. Co-organizes Congressional Hackathon (7th edition 2025). Advocates for legislative data transparency, AI adoption in Congress, and open-source civic tech tools for the legislative branch.",Philanthropy,"Hewlett Foundation, Democracy Fund, philanthropic grants",popvox.org
