Agency,FY26 Savings (dollars),FY27 Savings (dollars),FY25 Budget (dollars),% of FY25 Budget (FY27 savings; FY26 where no FY27),Summary
Department of Correction,4300000,0,3497588160,0.123%,Restructures and cancels IT and consultant contracts by bringing services in-house.
Department of Finance,0,13000000,1022960805,1.271%,Strengthens verification to ensure co-op abatement recipients qualify for the primary residence exemption.
Department of Health and Mental Hygiene,0,1150000,6605455698,0.017%,Renegotiates naloxone contract based on lower costs achieved in other states.
Department of Sanitation,0,194000,5704327116,0.003%,Vacates underutilized office space and relocates staff to upgraded facilities.
Department of Social Services,1300000,11397000,34442795478,0.033%,In-sources IT contracts maximizes WiFi revenue in shelters and terminates McKinsey consulting contract ($9M in FY26 spend).
Economic Development Corporation,0,626000,220643304,0.284%,In-sources a marketing contract previously handled by an outside vendor.
Fire Department,700000,12300000,6898242822,0.178%,Renegotiates vendor contracts and begins billing Medicaid for Treat No Transport emergency services.
Health + Hospitals,14100000,25700000,5471520255,0.470%,Negotiates contract rebates reduces temporary staffing reliance cuts overtime and improves revenue collection.
Mayor's Office of Nonprofit Services,400000,0,N/A (subsumed in Mayoralty),N/A,Eliminates a consultant contract and in-sources those services.
NYC Aging,0,411000,1565373705,0.026%,In-sources a consultant contract previously handled externally.
NYC Emergency Management,0,133000,652695252,0.020%,In-sources a software maintenance contract and transitions to more cost-effective software platforms.
New York City Public Schools,27500000,30300000,94496999226,0.032%,Terminates underutilized contracts implements spending caps and introduces controls on central office spending.
Mayor's Office of Management and Budget,0,90000,162365949,0.055%,Reduces office lease costs by optimizing space usage.
Office of Technology and Innovation,1300000,1200000,2350752897,0.051%,Renegotiates technology contracts eliminates duplicative hardware and software and right-sizes consultant agreements.
Office of Labor Relations,0,100000000,62558694,159.86% (see note),Audits dependent eligibility in employee health plans and removes ineligible dependents from coverage. NOTE: OLR administers citywide health benefits far exceeding its own $62.6M budget; percentage is not a meaningful benchmark.
Taxi and Limousine Commission,0,20000,180984516,0.011%,Cancels agency Slack subscription.
