number,category,recommendation,who_acts,what_it_takes
1,Members,Appoint and train a parliamentarian on every board,"Boards, borough presidents, CEC",Free to low; bylaws change plus expanded CEC training
2,Members,Build a Robert's Rules AI assistant and post-meeting transcript review,A borough president's office or the CEC,Low; build once and share across all 59 boards
3,Members,Make onboarding mandatory before appointment,Borough presidents with the CEC,Low; condition appointment on completing training
4,Members,"Mandatory staff training on technology, HR, and bylaws",CEC or borough president offices,Low; standardized curriculum
5,Members,Publish member attendance and enforce removal for no-shows,Boards and borough presidents,Free; enforce existing bylaws and reporting
6,Members,Recognize outstanding members with borough-level awards,Borough presidents or the Office of Mass Engagement,Minimal; new recognition program
7,Meetings,Cap member speaking time per motion,Each board,Free; standing rule under Robert's Rules
8,Meetings,Mandate reliable hybrid attendance at every board,City Council and OMB,Moderate; legislation plus equipment and staffing funds
9,Meetings,Extend Local Law 103 webcasting requirements to community boards,City Council,Moderate; local law amendment plus equipment funding
10,Meetings,Set a model bylaws floor and a violation intake process,CEC or Charter revision,Low; charter amendment or citywide guidance
11,Structure,Create a permanent CB support division in each borough,Charter revision and borough presidents,Significant; charter reform plus permanent staffing
12,Structure,Stand up one shared tech platform instead of 59,City (OTI),Moderate one-time; procurement plus maintenance
13,Structure,Publish a public dashboard on every board's performance,Borough presidents or the CEC,Low; data collection standards
14,Structure,Baseline a budget increase including an urban planner on every board,Mayor and City Council,Roughly $15M per year added to the adopted budget
