Category,Metric,MTA 2018 Study (NYCT Option),MTA 2018 Study (LIRR Option),QueensLink Proposal,Notes
Cost,Capital cost estimate,8102400000,6774400000,3400000000–8100000000,"MTA costs in 2016 dollars; QueensLink argues MTA used inflated 2030 dollars + unrealistic contingency. TEMS independent analysis supports lower figure."
Cost,Cost basis year,2016 dollars,2016 dollars,Not specified,"QueensLink contends the MTA's figure is inflated relative to comparable infrastructure projects."
Cost,Federal planning grant secured,Not included,Not included,500000,"$500K US DOT Reconnecting Communities Initiative grant (2025); unlocks next phase of environmental study."
Ridership,Projected daily riders (weekday),47000,11200,75000+,"MTA forecast is for year 2025 with 10-min headways (NYCT) or 15-min (LIRR). QueensLink is a 2021 estimate. Both far exceed existing Q52/Q53 SBS ridership."
Ridership,Daily ridership methodology,AM peak × 2.91 factor,AM peak × 2.678 factor,Not specified,MTA used travel demand model; QueensLink has not published full methodology.
Service,Proposed headways,10 minutes,15–30 minutes,Not specified (M-train extension),"MTA also modeled 15-min headways for NYCT (lower ridership result). QueensLink routes service via existing Queens Blvd line."
Service,Travel time to Midtown,45 min (34th St to Howard Beach),25 min (Penn Station to Howard Beach),Not specified,"NYCT option requires new tunnel connection to Queens Blvd line. LIRR time advantage assumes direct Mainline connection."
Service,Service frequency impact on other lines,"R train: 6→8.67 min; M train inbound: 6→8.67 min","Port Jefferson/Huntington: reduced; Babylon/Ronkonkoma: reduced",Not assessed,"MTA study required service reductions on multiple lines to create capacity for RBB service."
Infrastructure,New stations proposed,7 (Howard Beach · Aqueduct · Ozone Park · Woodhaven · Brooklyn Manor · Parkside · 63rd Dr–Rego Park),8 (including Woodside and Manhattan terminal),4,QueensLink's 4-station count may reflect only the new intermediate stops between Rego Park and Ozone Park.
Infrastructure,New park acreage,Not assessed,Not assessed,33 acres,"QueensLink envisions linear park space alongside or above the rail corridor."
Infrastructure,Residents within 15-min walk of parks,Not assessed,Not assessed,250000+,QueensLink estimate.
Infrastructure,Residents within single subway ride of parks,Not assessed,Not assessed,630000,QueensLink estimate.
Environmental,Annual car reduction,Not assessed,Not assessed,4700000,QueensLink estimate.
Environmental,Annual CO2 reduction (tons),Not assessed,Not assessed,7200,QueensLink estimate.
Environmental,Crash-related injuries prevented per year,Not assessed,Not assessed,74,QueensLink estimate.
Economic,Return per $1 invested,Not assessed,Not assessed,$2.20,QueensLink: $9B total economic output on ~$4.1B mid-point investment.
Economic,Total economic output,Not assessed,Not assessed,9000000000,QueensLink estimate.
Economic,Job-years supported,Not assessed,Not assessed,37000,QueensLink estimate.
Context,Study/publication date,September 2018,September 2018,2021 analysis (FAQ updated 2025),The 3-year gap matters: post-COVID ridership patterns and inflation differ substantially.
Context,Summer Rockaway ferry demand (proxy),Not assessed,Not assessed,167000+ riders (Summer 2024),Rockaway Route; cited as evidence of strong latent demand.
Context,Queens Blvd line capacity available,Not assessed,Not assessed,10 TPH unlocked after M-train diversion,"M train currently runs at 9 TPH; QBL can handle 30 TPH but is capped at 20 TPH due to Forest Hills terminal constraints."
Timeline,Estimated total delivery time,Not specified,Not specified,8–10 years (~2yr EIS + 6–8yr construction),"Potential completion ~2034–2036 if EIS begins promptly and project is included in MTA capital plan."
